City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Ushuaia,AR,2020-08-16 23:04:18,-54.8,-68.3,33.8,80,75,29.97
70,Myitkyina,MM,2020-08-16 23:07:03,25.38,97.4,73.27,97,100,1.41
71,Banda Aceh,ID,2020-08-16 23:07:03,5.56,95.32,79.47,79,17,8.72
72,Calama,CL,2020-08-16 23:04:21,-22.47,-68.93,60.8,10,0,24.16
73,Bengkulu,ID,2020-08-16 23:07:04,-3.8,102.27,75.42,84,51,4.14
74,Hasaki,JP,2020-08-16 23:07:04,35.73,140.83,88.0,83,75,3.36
75,Abha,SA,2020-08-16 23:07:04,18.22,42.51,73.4,68,94,2.93
76,Carnarvon,AU,2020-08-16 23:07:03,-24.87,113.63,50.0,100,40,6.93
77,Tuktoyaktuk,CA,2020-08-16 23:07:05,69.45,-133.04,51.8,87,90,8.05
78,Vaini,TO,2020-08-16 23:07:05,-21.2,-175.2,71.6,68,75,9.17
79,Pisco,PE,2020-08-16 23:06:17,-13.7,-76.22,66.2,72,36,9.17
80,Pochutla,MX,2020-08-16 23:07:06,15.74,-96.47,86.0,70,90,9.08
81,Kavieng,PG,2020-08-16 23:07:06,-2.57,150.8,83.71,74,43,10.92
82,Codrington,AU,2020-08-16 23:07:06,-38.27,141.97,46.0,88,93,8.41
83,Tura,IN,2020-08-16 23:02:12,25.52,90.22,75.07,97,100,6.13
84,Portland,US,2020-08-16 23:04:10,45.52,-122.68,95.0,31,75,4.7
85,Yeppoon,AU,2020-08-16 23:07:07,-23.13,150.73,60.8,55,0,5.23
86,Constitucion,CL,2020-08-16 23:07:07,-35.33,-72.42,48.36,79,52,12.21
87,Bilibino,RU,2020-08-16 23:07:08,68.05,166.44,41.34,71,100,12.95
88,Am Timan,TD,2020-08-16 23:07:08,11.03,20.28,71.87,96,100,5.35
89,Nouadhibou,MR,2020-08-16 23:07:08,20.93,-17.03,75.2,69,9,18.34
90,Luderitz,NA,2020-08-16 23:07:08,-26.65,15.16,56.48,52,0,17.38
91,Bethel,US,2020-08-16 23:07:09,41.37,-73.41,66.2,88,90,9.17
92,Kualakapuas,ID,2020-08-16 23:07:09,-3.01,114.39,77.0,100,74,2.24
93,Pacific Grove,US,2020-08-16 23:07:09,36.62,-121.92,91.99,31,1,5.82
94,Kostyantynivka,UA,2020-08-16 23:07:09,48.53,37.71,60.76,59,0,4.97
95,Vila Velha,BR,2020-08-16 23:02:11,-20.33,-40.29,79.0,88,40,10.29
96,Ugoofaaru,MV,2020-08-16 23:07:10,5.67,73.0,82.24,77,97,6.85
97,Uglovskoye,RU,2020-08-16 23:07:10,51.36,80.19,60.21,72,94,6.2
98,Waitara,NZ,2020-08-16 23:07:10,-38.92,174.25,46.99,67,16,5.01
99,Bluff,NZ,2020-08-16 23:07:11,-46.6,168.33,41.0,98,81,3.0
100,Airai,TL,2020-08-16 23:07:11,-8.93,125.41,62.15,61,1,2.68
101,Drumheller,CA,2020-08-16 23:07:11,51.46,-112.71,89.01,44,0,6.64
102,Choix,MX,2020-08-16 23:07:11,26.71,-108.32,96.53,40,11,7.02
103,Finschhafen,PG,2020-08-16 23:07:12,-6.6,147.87,80.92,61,0,7.29
104,Zaykovo,RU,2020-08-16 23:07:12,57.56,62.76,57.69,97,100,10.76
105,Ukiah,US,2020-08-16 23:02:49,39.15,-123.21,104.0,19,1,13.87
106,Mlonggo,ID,2020-08-16 23:07:12,-6.53,110.7,76.82,83,20,6.76
107,Chunoyar,RU,2020-08-16 23:07:13,57.45,97.32,49.89,69,75,5.39
108,Arrifes,PT,2020-08-16 23:07:13,37.77,-25.7,73.4,88,75,13.87
109,Nemuro,JP,2020-08-16 23:07:13,43.32,145.57,65.32,85,2,7.0
110,Saskylakh,RU,2020-08-16 23:07:14,71.92,114.08,58.08,51,52,0.81
111,Mendeleyevo,RU,2020-08-16 23:07:14,56.03,37.22,60.8,87,41,8.95
112,Ilulissat,GL,2020-08-16 23:07:14,69.22,-51.1,41.0,60,0,5.82
113,Kudahuvadhoo,MV,2020-08-16 23:07:14,2.67,72.89,82.98,71,95,4.41
114,Marystown,CA,2020-08-16 23:07:15,47.17,-55.15,59.43,78,0,6.51
115,Victor Harbor,AU,2020-08-16 23:07:15,-35.57,138.62,46.0,93,21,12.8
116,Belaya Gora,RU,2020-08-16 23:07:15,68.53,146.42,45.93,69,95,12.95
117,Gemena,CD,2020-08-16 23:07:15,3.25,19.77,71.13,96,100,1.21
118,Hovd,MN,2020-08-16 23:06:56,48.01,91.64,56.75,67,100,7.47
119,San Pedro,PH,2020-08-16 23:07:16,14.35,121.02,79.0,94,74,6.93
120,Pedasi,PA,2020-08-16 23:07:16,7.53,-80.03,80.42,80,100,10.94
121,Lebu,CL,2020-08-16 23:06:00,-37.62,-73.65,49.06,85,80,4.38
122,Khatanga,RU,2020-08-16 23:07:16,71.97,102.5,61.03,84,90,2.24
123,Grindavik,IS,2020-08-16 23:07:17,63.84,-22.43,53.6,100,75,14.99
124,Kununurra,AU,2020-08-16 23:07:17,-15.77,128.73,68.0,54,0,4.7
125,Kandava,LV,2020-08-16 23:07:17,57.04,22.77,58.33,95,0,3.89
126,Alice Town,BS,2020-08-16 23:07:18,25.72,-79.3,85.35,60,0,4.07
127,Hobart,AU,2020-08-16 23:07:18,-42.88,147.33,51.8,93,75,5.82
128,Kamaishi,JP,2020-08-16 23:07:18,39.27,141.88,75.96,73,100,1.12
129,New Norfolk,AU,2020-08-16 23:07:18,-42.78,147.06,51.01,90,100,1.83
130,Lebanon,US,2020-08-16 23:02:57,36.21,-86.29,87.8,55,20,9.17
131,Koungheul,SN,2020-08-16 23:07:19,13.98,-14.8,82.27,77,77,10.54
132,Sao Joao Da Barra,BR,2020-08-16 23:05:55,-21.64,-41.05,73.24,90,98,2.84
133,Chuy,UY,2020-08-16 23:07:19,-33.7,-53.46,46.9,71,0,7.45
134,Narsaq,GL,2020-08-16 23:07:20,60.92,-46.05,55.4,47,0,6.93
135,Kruisfontein,ZA,2020-08-16 23:07:20,-34.0,24.73,46.99,69,99,1.01
136,Eltham,NZ,2020-08-16 23:07:20,-39.43,174.3,50.0,80,0,3.0
137,Margate,GB,2020-08-16 23:03:03,51.38,1.39,66.0,95,10,1.01
138,Salalah,OM,2020-08-16 23:07:21,17.02,54.09,77.0,94,90,5.82
139,Husavik,IS,2020-08-16 23:07:21,66.04,-17.34,55.4,87,61,1.12
140,Howard Springs,AU,2020-08-16 23:07:21,-12.5,131.05,80.01,78,75,4.7
141,Sobolevo,RU,2020-08-16 23:07:21,54.43,31.9,59.29,90,1,6.55
142,Avarua,CK,2020-08-16 23:07:22,-21.21,-159.78,73.4,69,27,6.93
143,Brownwood,US,2020-08-16 23:05:43,31.71,-98.99,102.2,17,1,10.29
144,Eureka,US,2020-08-16 23:02:39,40.8,-124.16,75.0,76,32,3.0
145,Gallup,US,2020-08-16 23:07:22,35.53,-108.74,93.2,6,1,5.82
146,Saint Anthony,US,2020-08-16 23:07:23,45.02,-93.22,84.0,39,1,7.23
147,Kathu,TH,2020-08-16 23:07:23,7.92,98.33,84.99,94,40,6.73
148,Asfi,MA,2020-08-16 23:05:53,32.3,-9.24,68.72,77,0,19.39
149,Vao,NC,2020-08-16 23:07:24,-22.67,167.48,71.56,85,13,18.34
150,Geraldton,AU,2020-08-16 23:07:24,-28.77,114.6,57.2,76,40,12.75
151,Mayumba,GA,2020-08-16 23:07:24,-3.43,10.66,73.69,89,100,8.5
152,Torbay,CA,2020-08-16 23:05:14,47.67,-52.73,62.6,55,5,9.17
153,Luebo,CD,2020-08-16 23:07:25,-5.35,21.42,79.25,51,64,1.34
154,Montevideo,UY,2020-08-16 23:07:25,-34.83,-56.17,53.6,46,0,9.17
155,Walvis Bay,NA,2020-08-16 23:05:52,-22.96,14.51,54.0,87,0,10.29
156,San Quintin,MX,2020-08-16 23:07:25,30.48,-115.95,79.93,58,60,9.62
157,Cape Town,ZA,2020-08-16 23:04:39,-33.93,18.42,45.0,93,100,6.93
158,Ambon,ID,2020-08-16 23:05:52,-3.7,128.18,80.6,78,40,8.05
159,Santa Maria,BR,2020-08-16 23:07:26,-29.68,-53.81,51.8,87,64,2.24
160,Saumur,FR,2020-08-16 23:07:26,47.33,-0.25,63.0,93,75,3.36
161,Suntar,RU,2020-08-16 23:07:27,62.14,117.63,50.0,65,23,3.15
162,Mehamn,NO,2020-08-16 23:07:27,71.04,27.85,46.4,81,75,25.28
163,Fort Nelson,CA,2020-08-16 23:07:28,58.81,-122.7,66.2,77,90,2.1
164,Saint-Philippe,RE,2020-08-16 23:07:28,-21.36,55.77,66.2,63,40,6.93
165,Villazon,BO,2020-08-16 23:07:28,-22.09,-65.59,45.59,29,10,16.22
166,Dzilam Gonzalez,MX,2020-08-16 23:07:28,21.28,-88.93,85.14,69,100,8.61
167,Hobyo,SO,2020-08-16 23:07:29,5.35,48.53,75.85,79,47,20.6
168,Souillac,MU,2020-08-16 23:07:29,-20.52,57.52,71.6,73,40,14.99
169,Saldanha,ZA,2020-08-16 23:07:29,-33.01,17.94,44.6,81,100,1.12
170,Adrar,MR,2020-08-16 23:07:29,20.5,-10.07,102.45,16,72,6.4
171,Khandyga,RU,2020-08-16 23:07:30,62.67,135.6,50.34,47,98,4.65
